Row Type,Action,Status,Sync errors,From,To,Device segment,Engine,Account,Campaign,Ad group,Keyword,Match type,Engine status,Clicks,Impr,Cost,CTR,Avg CPC,Avg pos
keyword,edit,Active,,7/16/2014,7/16/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,HikingTripe/s/ing,biking outdoor,Broad,Active,1,36,2.47,0.0278,2.47,2.56
keyword,edit,Active,,7/18/2014,7/18/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,HikingTripe/s/ing,biking outdoor,Broad,Active,1,27,2.43,0.037,2.43,3.11
keyword,edit,Active,,7/21/2014,7/21/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,HikingTripe/s/ing,biking outdoor land,Phrase,Active,1,1,2.36,1,2.36,1
keyword,edit,Active,,7/15/2014,7/15/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,HikingTripe/s/ing,outdoor hiking,Phrase,Active,1,6,1.22,0.1667,1.22,1
keyword,edit,Active,,7/16/2014,7/16/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,HikingTripe/s/ing,outdoor hiking,Phrase,Active,1,4,2.05,0.25,2.05,1.5
keyword,edit,Active,,7/21/2014,7/21/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,HikingTripe/s/ing,outdoor hikings,Phrase,Active,1,1,1.31,1,1.31,4
keyword,edit,Active,,7/15/2014,7/15/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,HikingTripe/s/ing,outdoor land hiking,Phrase,Active,1,15,3.18,0.0667,3.18,1
keyword,edit,Active,,7/17/2014,7/17/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,HikingTripe/s/ing,outdoor land hiking,Phrase,Active,2,13,3.63,0.1538,1.82,1
keyword,edit,Active,,7/18/2014,7/18/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,HikingTripe/s/ing,outdoor land hiking,Phrase,Active,1,5,1.34,0.2,1.34,1
keyword,edit,Active,,7/21/2014,7/21/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,HikingTripe/s/ing,outdoor land hiking,Phrase,Active,2,7,2.73,0.2857,1.36,1
keyword,edit,Active,,7/16/2014,7/16/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,HikingTripe/s/ing,outdoor land hikings,Broad,Active,1,251,3.1,0.004,3.1,2.13
keyword,edit,Active,,7/17/2014,7/17/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,HikingTripe/s/ing,outdoor land hikings,Broad,Active,134,20690,397.97,0.0065,2.97,1.02
keyword,edit,Active,,7/18/2014,7/18/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,HikingTripe/s/ing,outdoor land hikings,Broad,Active,5,525,11.92,0.0095,2.38,1.7
keyword,edit,Active,,7/19/2014,7/19/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,HikingTripe/s/ing,outdoor land hikings,Broad,Active,1,164,1.44,0.0061,1.44,2.31
keyword,edit,Active,,7/20/2014,7/20/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,HikingTripe/s/ing,outdoor land hikings,Phrase,Active,1,71,1.05,0.0141,1.05,1.9
keyword,edit,Active,,7/21/2014,7/21/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,HikingTripe/s/ing,outdoor land hikings,Phrase,Active,6,13,14.48,0.4615,2.41,1
keyword,edit,Active,,7/20/2014,7/20/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,HikingTripe/s/ing,hiking outdoor,Exact,Active,1,1,1.91,1,1.91,1
keyword,edit,Active,,7/15/2014,7/15/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,HikingTripe/s/ing,hiking outdoor land,Exact,Active,1,1,0.72,1,0.72,3
keyword,edit,Active,,7/18/2014,7/18/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,HikingTripe/s/ing,hikings on the outdoor land,Exact,Active,1,1,1.69,1,1.69,1
keyword,edit,Active,,7/16/2014,7/16/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,HikingTripe/s/ing,outdoor hiking,Exact,Active,1,2,1.47,0.5,1.47,1
keyword,edit,Active,,7/17/2014,7/17/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,HikingTripe/s/ing,outdoor hiking,Exact,Active,1,1,1.5,1,1.5,1
keyword,edit,Active,,7/18/2014,7/18/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,HikingTripe/s/ing,outdoor hiking,Exact,Active,1,2,2.5,0.5,2.5,1
keyword,edit,Active,,7/17/2014,7/17/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,HikingTripe/s/ing,outdoor hikings,Exact,Active,2,1,3.81,2,1.9,1
keyword,edit,Active,,7/19/2014,7/19/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,Tours/Hike,outdoor bike hikings,Broad,Active,1,3,1.42,0.3333,1.42,2.67
keyword,edit,Active,,7/21/2014,7/21/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,Tours/Hike,outdoor bike hikings,Broad,Active,1,14,1.03,0.0714,1.03,3.64
keyword,edit,Active,,7/21/2014,7/21/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,Tours/Hike,outdoor bike tour,Phrase,Active,1,1,2.6,1,2.6,1
